Player,Team,Position,Bye,Projected,Actual,Passing Yds,Passing TD,Int,Rushing Yds,Rushing TD,Receiving Yds,Receiving TD,Ret TD,Misc 2pt,Fum Lost,Fan Pts
Leonard Weaver,Phi,RB,8,1712,204,0,0,0,323,2,140,2,0,0,0,63
Sammie Stroughter,TB,WR,4,1713,1372,0,0,0,0,0,334,1,1,0,0,61
Matt Jones,Cin,WR,6,1714,-,-,-,-,-,-,-,-,-,-,-,-
Antwaan Randle El,Pit,WR,5,1715,267,0,0,0,0,0,530,0,0,0,2,43
Andre Caldwell,Cin,WR,6,1716,225,0,0,0,22,0,432,3,0,0,2,75
Martellus Bennett,Dal,TE,4,1717,1417,0,0,0,0,0,159,0,0,0,0,13
Michael Clayton,TB,WR,4,1718,1430,0,0,0,0,0,230,1,0,1,0,26
Alge Crumpler,NE,TE,5,1719,1374,0,0,0,0,0,222,1,0,0,1,22
Jason Hill,SF,WR,9,1720,1483,0,0,0,0,0,90,2,0,0,0,19
Darcy Johnson,StL,TE,9,1721,1477,0,0,0,0,0,32,0,0,0,0,3
Kerry Collins,Ten,QB,9,1722,1440,1225,6,8,15,1,0,0,0,0,2,63
Ernest Wilford,Jac,TE,9,1723,1412,0,0,0,0,0,123,1,0,0,0,14
Michael Gaines(NA),Hou,TE,7,1724,1429,0,0,0,0,0,59,1,0,0,0,11
Derek Schouman,Buf,TE,6,1725,1437,0,0,0,0,0,103,0,0,0,0,10
Tory Humphrey,NO,TE,10,1726,1497,0,0,0,0,0,7,0,0,0,0,-
John Gilmore,TB,TE,4,1727,1481,0,0,0,0,0,23,0,0,0,0,-
Nathan Overbay,Den,TE,9,1728,-,-,-,-,-,-,-,-,-,-,-,-
Colin Cloherty,Ind,TE,7,1729,1502,0,0,0,0,0,2,0,0,0,0,-
Matthew Mulligan,NYJ,TE,7,1730,1503,0,0,0,0,0,2,0,0,0,0,-
Michael Allan(NA),Sea,TE,5,1731,-,-,-,-,-,-,-,-,-,-,-,-
Kory Sperry,Mia,TE,5,1732,1441,0,0,0,0,0,31,1,0,0,0,9
Michael Palmer,Atl,TE,8,1733,-,-,-,-,-,-,-,-,-,-,-,-
Tom Santi(NA),Ind,TE,7,1734,1443,0,0,0,0,0,107,0,0,0,1,8
Anthony Hill,Hou,TE,7,1735,1492,0,0,0,0,0,9,0,0,0,0,-
Mike Nugent,Cin,K,6,1823,1688,-,-,-,-,-,-,-,-,-,-,29
Oakland,Oak,DEF,10,1830,1525,-,-,-,-,-,-,-,-,-,-,93
Detroit,Det,DEF,7,2056,1526,-,-,-,-,-,-,-,-,-,-,65
Nick Novak,SD,K,10,2079,-,-,-,-,-,-,-,-,-,-,-,-
St. Louis,StL,DEF,9,2217,1620,-,-,-,-,-,-,-,-,-,-,51
Jacksonville,Jac,DEF,9,2222,1689,-,-,-,-,-,-,-,-,-,-,53
Todd Carter,Car,K,6,2230,-,-,-,-,-,-,-,-,-,-,-,-
Garrett Lindholm,Ind,K,7,2231,-,-,-,-,-,-,-,-,-,-,-,-
Justin Medlock(NA),Det,K,7,2232,-,-,-,-,-,-,-,-,-,-,-,-
Brett Swenson(IR),Ind,K,7,2233,-,-,-,-,-,-,-,-,-,-,-,-
Aaron Pettrey,Det,K,7,2234,-,-,-,-,-,-,-,-,-,-,-,-
Leigh Tiffin(NA),Cle,K,8,2235,-,-,-,-,-,-,-,-,-,-,-,-
Graham Gano,Was,K,9,2236,1692,-,-,-,-,-,-,-,-,-,-,22
Clint Stitser(NA),NYJ,K,7,2237,-,-,-,-,-,-,-,-,-,-,-,-
Dave Rayner,Cin,K,6,2238,-,-,-,-,-,-,-,-,-,-,-,-
Piotr Czech(NA),Pit,K,5,2239,-,-,-,-,-,-,-,-,-,-,-,-
Ricky Schmitt,Ten,K,9,2240,1699,-,-,-,-,-,-,-,-,-,-,10
Swayze Waters,Oak,K,10,2241,-,-,-,-,-,-,-,-,-,-,-,-
Rhys Lloyd,Min,K,4,2242,1708,-,-,-,-,-,-,-,-,-,-,-
Connor Hughes(NA),Dal,K,4,2243,-,-,-,-,-,-,-,-,-,-,-,-
