Player,Team,Position,Bye,Projected,Actual,Passing Yds,Passing TD,Int,Rushing Yds,Rushing TD,Receiving Yds,Receiving TD,Ret TD,Misc 2pt,Fum Lost,Fan Pts
Visanthe Shiancoe,Min,TE,4,113,67,0,0,0,0,0,566,11,0,0,0,115
Laurence Maroney,NE,RB,5,114,86,0,0,0,757,9,99,0,0,0,4,135
Heath Miller,Pit,TE,5,115,79,0,0,0,0,0,789,6,0,0,0,107
Alex Smith,SF,QB,9,116,98,2350,18,12,51,0,-6,0,0,0,1,156
Kenny Britt,Ten,WR,9,117,153,0,0,0,0,0,701,3,0,0,1,101
Lee Evans,Buf,WR,6,118,125,0,0,0,0,0,612,7,0,0,0,97
Jacoby Jones,Hou,WR,7,119,151,0,0,0,22,0,437,6,1,0,0,126
Eddie Royal,Den,WR,9,120,1350,0,0,0,1,0,345,0,2,0,0,83
Steve Breaston,Ari,WR,6,121,143,0,0,0,44,0,712,3,0,0,1,89
LaDainian Tomlinson,NYJ,RB,7,122,57,0,0,0,730,12,154,0,0,0,2,146
Mohamed Massaquoi,Cle,WR,8,123,176,0,0,0,-3,0,624,3,0,0,1,72
Darren McFadden,Oak,RB,10,124,242,0,0,0,357,1,245,0,0,0,3,53
LenDale White,Den,RB,9,125,1435,0,0,0,222,2,14,0,0,0,1,27
Julian Edelman,NE,WR,5,126,1391,0,0,0,5,0,359,1,0,0,0,51
Antonio Bryant,Cin,WR,6,127,161,0,0,0,0,0,600,4,0,0,0,79
Santonio Holmes,NYJ,WR,7,128,56,0,0,1,6,0,1248,5,0,0,0,145
Chris Cooley,Was,TE,9,129,210,0,0,0,0,0,332,2,0,0,0,42
Demaryius Thomas,Den,WR,9,130,-,-,-,-,-,-,-,-,-,-,-,-
Darren Sproles,SD,RB,10,131,89,0,0,0,343,3,497,4,1,0,1,184
Jerricho Cotchery,NYJ,WR,7,132,117,0,0,0,7,1,821,3,0,0,0,107
Ben Roethlisberger,Pit,QB,5,133,12,4328,26,12,82,2,0,0,0,0,3,283
Austin Collie,Ind,WR,7,134,112,0,0,0,1,0,676,7,0,0,0,101
